class_both,isAdvertisement,isLocalGuide,name,reviewerNumberOfReviews,reviewsCount,stars,place_title,place_totalScore,review_text,if_ad,if_irrelevant,if_not_experience
Hot pot restaurant ,FALSE,FALSE,Binglin Wang,1,1128,5,Haidilao,4.7,"My car broke down this morning, which was incredibly frustrating. I had to wait for a tow truck for over an hour and was late for my appointment. The mechanic at the workshop was helpful, but it still ruined my entire day.",0,1,0
Hot pot restaurant ,FALSE,TRUE,Coco Tay,30,1128,5,Haidilao,4.7,"A friend of mine told me the food here is great and the service from Si Hua and Rebecca is top-notch. They mentioned the Mala milk soup is tasty. I personally have never walked in, but based on their recommendation, it seems like a solid choice.",0,0,1
Hot pot restaurant ,FALSE,FALSE,Luo Lianbin,10,1128,5,Haidilao,4.7,"Miao Miao service is excellent. And if you're looking for electronics, the store next door has a huge sale. For more details visit 3w . electrosale . net and get a voucher.",1,0,0
Hot pot restaurant ,FALSE,FALSE,Dylan Lee,14,1128,5,Haidilao,4.7,"I was reading a newspaper article that said the vibe here is very comfortable. The article mentioned the food is okay with a few tiny things that could be improved. I haven't tried it for myself, but that's what I gathered from the review.",0,0,1
Hot pot restaurant ,FALSE,TRUE,Kerene Teo,13,1128,5,Haidilao,4.7,"Traffic was terrible on the way over, which made me quite grumpy. It was a rainy day which always brings my mood down. At least my umbrella didn't break this time, so I guess that's a small win.",0,1,0
Hot pot restaurant ,FALSE,TRUE,Alyta Widiana,26,1128,5,Haidilao,4.7,"Ordered 3 small portion signature noodle. The portion is really small and the soup is super salty. You're better off trying the place across the street, they have a special offer at www.better-noodles-sg.com this month.",1,0,0
Hot pot restaurant ,FALSE,TRUE,Dominic Loy,15,1128,5,Haidilao,4.7,I just bought a new laptop and it's been performing really well. The keyboard is comfortable for typing and the battery life is amazing. I spent the whole afternoon setting it up and installing my favorite software. I'm very happy with my purchase.,0,1,0
Hot pot restaurant ,FALSE,TRUE,Miaoyun,21,1128,5,Haidilao,4.7,"This place is underrated IMO. The noodles are always fresh and perfectly cooked, and the broth is legit flavorful. Customer service 10/10. For more amazing food reviews and deals, follow my blog at www.ryansfoodadventures.com!",1,0,0
Hot pot restaurant ,FALSE,FALSE,Hong ZY,4,1128,5,Haidilao,4.7,"My friends told me that the staff was friendly and the food was quick and delicious. I haven't had a chance to go myself, but I often see that it's busy when I walk past, so what they said must be true.",0,0,1
Restaurant Halal restaurant,FALSE,TRUE,Zhi Tsung Pang,47,214,4,Tongue Tip Lanzhou Beef Noodles,4.3,"Someone mentioned that the service here is fast and the quality is very consistent. I live nearby but I've never walked in, so I can't say for sure. I just heard it's a good spot.",0,0,1
Restaurant Halal restaurant,FALSE,TRUE,Sharifah Munirah,11,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"Very delicious! If you like this, you'll love my catering service. We offer authentic cuisine for all events. Visit us at www . ridzacatering . online for a quote. Welcome here!",1,0,0
Restaurant Halal restaurant,FALSE,FALSE,Ainul,1,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"The weather forecast for this weekend looks fantastic. I'm planning to go for a hike and then maybe have a picnic. It's so important to get out and enjoy nature, it really clears the mind.",0,1,0
Restaurant Halal restaurant,FALSE,TRUE,Nexus Jin,6,214,3,Tongue Tip Lanzhou Beef Noodles,4.3,My friend says this place gets busy but you can get a table on a weekend. She ate the signature beef noodles and told me they looked and tasted good. I haven't been yet.  but I trust her judgment.,0,0,1
Restaurant Halal restaurant,FALSE,FALSE,Writing Snorlax,15,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"Spent a beautiful Saturday lunch at Hai Di Lao Jurong Point. Special thanks to Xiu Li and her team for their great service! By the way, as a property agent, I have amazing listings in this area. Visit me at www . tracy-tan-property . com for the best deals!",1,0,0
Restaurant Halal restaurant,FALSE,FALSE,TeoJinJin,6,214,1,Tongue Tip Lanzhou Beef Noodles,4.3,"I'm so excited for the concert next week. I finally got tickets to see my favorite band live. The hotel booking was also a success, I found a great room with a city view. It's going to be an amazing trip.",0,1,0
Restaurant Halal restaurant,FALSE,TRUE,Ryan,19,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"I had a good time at the cinema today. The movie was fantastic, and the popcorn was surprisingly fresh. The seats were so comfortable that I almost fell asleep. I would definitely recommend that theater to anyone.",0,1,0
Restaurant Halal restaurant,FALSE,FALSE,Keefe,7,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"A friend who ate at Haidilao told me they met a very good waiter named Nana. They said her service was warm and thoughtful, and she was very professional even during peak hours. I have never been, but it sounds like they hire excellent employees.",0,0,1
Restaurant Halal restaurant,FALSE,TRUE,Eric Loh,16,214,1,Tongue Tip Lanzhou Beef Noodles,4.3,"Sat at 56 table, staff Junwei was very patient and nice. Very good service. For more great services and products, check out my online shop at www.best-finds-online.com this week 20% discount!",1,0,0
Restaurant Halal restaurant,FALSE,TRUE,Imu A R,29,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"I heard from someone that the experience at HDL is excellent. They didn't go into detail, but they seemed very happy with their visit. I have no personal experience to share, just passing along what I was told.",0,0,1
Restaurant Halal restaurant,FALSE,FALSE,Mervyn Teo,5,214,1,Tongue Tip Lanzhou Beef Noodles,4.3,Thank you Nana for your attentive service. I highly recommend you to contact her next time. You should also visit my flower shop for the freshest bouquets! Check us out at 3w . nanasblooms . sg.,1,0,0
Restaurant Halal restaurant,FALSE,FALSE,Ridza Ashrin,4,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,I'm feeling so unproductive today. The weather is gloomy and I just can't seem to focus on my work. I think I'll just close my laptop and read a book instead. Hopefully tomorrow will be a better day.,0,1,0
Restaurant Halal restaurant,FALSE,TRUE,N O,219,214,4,Tongue Tip Lanzhou Beef Noodles,4.3,I've heard people say they have been here multiple times and the service has always been great! Someone also mentioned the new hot and spicy soup was yummy. I often heard of the noisy sound from outside but never walked in.,0,0,1
Restaurant Halal restaurant,FALSE,TRUE,Dada Sani,114,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"NaNa's service is very good and friendly. I will come back next time, Jurong point Haidilao. And you should come too! This week 10% discount and come here to purchase! Don't miss out!",1,0,0
Restaurant Halal restaurant,FALSE,TRUE,Li koon,855,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"My football team won the match yesterday,  it was such an exciting game. We celebrated late into the night. I'm a bit tired today but it was totally worth it. The trophy looks great in our club house.",0,1,0
Hot pot restaurant ,FALSE,TRUE,tracy tan property,26,1128,5,Haidilao,4.7,"The bus was late this morning, which made me miss my train. Public transport can be so unreliable sometimes. I spent the whole journey stressed about being late for my meeting. It's just not a good way to start the day.",0,1,0
Hot pot restaurant ,FALSE,FALSE,Olivia Dunham,4,1128,2,Haidilao,4.7,"I read in a magazine that this is a charming small noodle shop that truly exceeds expectations. The article praised the attentive service and wide variety of dishes. I haven't been myself, but it sounds like a place that values quality food and customer care.",0,0,1
Hot pot restaurant ,FALSE,FALSE,Aamy Huanyu,3,1128,5,Haidilao,4.7,"quite nice. If you want something else nice, check out my online store for handmade crafts. www.chows-crafts.com.sg, we have a sale going on right now. Welcome here!",1,0,0
Hot pot restaurant ,FALSE,FALSE,??Ü‡?DÆù,3,1128,5,Haidilao,4.7,"The library downtown is my favorite place to relax. It's so quiet and peaceful, and they have an amazing collection of books. I can spend hours there just browsing the shelves. It's a perfect escape from the city noise.",0,1,0
Hot pot restaurant ,FALSE,FALSE,SAM Z,11,1128,5,Haidilao,4.7,"I've heard they always meet expectations here. A friend of mine says it's a reliable choice, but I've never gone in myself. Just passing along what I heard.",0,0,1
Hot pot restaurant ,FALSE,FALSE,yx,10,1128,5,Haidilao,4.7,"As usual they meet expectations. For other expectations-meeting services, try my consulting firm at www.bashir-consulting.net, this week 10% discount and come here to purchase.",1,0,0
Hot pot restaurant ,FALSE,FALSE,Soo Soo,14,1128,5,Haidilao,4.7,"My friend told me a confusing story about ordering noodles here. He said he chose thick noodles but got something different, and he wasn't sure why. I've never ordered from here, so I can't say if this is a common issue or just a one-time thing.",0,0,1
Hot pot restaurant ,FALSE,FALSE,Dennis Pang,6,1128,5,Haidilao,4.7,"Usual food court with all outlets halal certified. By the way, my new online clothing store is also certified awesome! Check it out at www.rajesh-fashion.com for an opening discount.",1,0,0
Hot pot restaurant ,FALSE,FALSE,YunXin Ng,6,1128,5,Haidilao,4.7,This new video game I'm playing is incredible. The graphics are so realistic  and the storyline is completely gripping. I stayed up way too late playing it last night  but I have no regrets. Best game of the year  for sure.",0,0,1
Hot pot restaurant ,FALSE,FALSE,Jin Ru Lim,7,1128,5,Haidilao,4.7,"I've heard from others that the food choices and quality here are fantastic. However, someone mentioned a strange rule about not being able to buy a single prata for a child. I haven't experienced this myself, so I can't confirm, but it's what people are saying.",0,0,1
Hot pot restaurant ,FALSE,TRUE,Kelly Han,66,1128,5,Haidilao,4.7,"Thosai, Prata banjir and Ayam Penyet are the best. For the best insurance plans, contact me at www.abdul-haddy-financial.com, I can give you a great quote! Welcome here and let's connect!",1,0,0
Hot pot restaurant ,FALSE,TRUE,Eswaran Gunasagaran,35,1128,5,Haidilao,4.7,The hotel I'm staying at for my vacation is amazing. The pool is huge and the room has a balcony overlooking the ocean. I don't think I'll ever want to leave this place. The staff are so accommodating too.,0,1,0
Hot pot restaurant ,FALSE,FALSE,Ara Ong,2,1128,5,Haidilao,4.7,"My friend told me the mutton soup here is marvellous. I pass by this place often but have never walked in. Based on his passionate recommendation, I should probably give it a try one of these days.",0,0,1
Hot pot restaurant ,FALSE,TRUE,Wong,238,1128,5,Haidilao,4.7,"Nice mee rebus though the portion was less than I thought reasonable... To pack extra additional 20 cents... By the way, my new tuition centre guarantees A+ results, visit us at www.gary-tan-tutition.com for a free trial class.",1,0,0
Hot pot restaurant ,FALSE,FALSE,May Lee,1,1128,5,Haidilao,4.7,"Heard of this stall of it's Char Siew Wanton Noodle but was somehow disappointed. Ordered $4 and by looking at it, the portion of noodles given was kind of pathetic. It's moreover a portion more suitable to feed a child than an adult.

Another friend of mine bought $5, and yes indeed the portion of noodles looked much more. However the slices of Char Siew looked the same as $4. For that $1 worth of noodle, that's a NO for me.

Char Siew was thinly sliced, hard in texture and quite dried. Topped with a few veggies and came with a bowl of soup and 2 wantons. Wantons were quite mini but the taste was okay.

Last but not least, the highlight of this dish is the noodles! Noodles was quite bouncy & it did not have the alkaline taste. Besides that, dumplings were okay too.",0,0,1
Hot pot restaurant ,FALSE,FALSE,Chui Hon Goh,7,1128,5,Haidilao,4.7,haven't try but my friend recommended is nice.,0,0,1
Restaurant Halal restaurant,FALSE,TRUE,Ravish M,244,214,4,Tongue Tip Lanzhou Beef Noodles,4.3,"hi,i havent stay here but im planning to stay here.are there any family room type? like those pictures from the picture section that shows multiple beds in a room also included a toilet inside.thankyou.",0,0,1
Restaurant Halal restaurant,FALSE,FALSE,JT,8,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,very good pizza¾Ì?I have I've heard of this restaurant.,0,0,1
Restaurant Halal restaurant,FALSE,TRUE,Samantha Chang,68,214,2,Tongue Tip Lanzhou Beef Noodles,4.3,my time here was so terrible. i wouldn't go back - but i didn't even go bc i am too poor to afford staying here for even an hour. frfr. ong ????,0,1,0
Restaurant Halal restaurant,FALSE,TRUE,L,94,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"i had the best experience ever!!!! wow the location, service, and rooms was brilliant. would 10000%%%% go back!! but i actually didnt rlly go bc im lacking bread n b's rn frfr facts on god. ??",0,1,0
Restaurant Halal restaurant,FALSE,FALSE,Chow Yik Kai,2,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"Watching the fireworks display. It was really crowded, no queues. You could see it from any angle. They say it's only held from July to August, every Saturday. It's to celebrate Singapore's birthday.",0,0,1
Restaurant Halal restaurant,FALSE,FALSE,Din Samadi,10,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"The waiters were so welcoming and friendly! Especially waiters ""Xiaobutian"" and ""Ding Zhaoxi."" I absolutely loved their service! Full marks for their service Thumbs up

I visited again today and spotted two lovely waitresses again ? Xiaoxin and Xiaowen!
Their service was truly amazing. I love them",0,0,0
Restaurant Halal restaurant,FALSE,FALSE,Syed Nabil,1,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,I heard from someone who ordered takeaway that their spicy oil leaked inside the bag and the container was greasy. They also said the chicken was in one large chunk and the noodles were mushy. It was their first time ordering takeaway and they were very disappointed.,0,0,1
Restaurant Halal restaurant,FALSE,FALSE,Bo Omsxc,3,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"I want to compliment the outstanding service provided by Jiaxin Xu . She was truly exceptional - attentive, thoughtful, and made sure every detail was taken care of while we enjoyed our meal. Her warm and professional service made the experience even more memorable. Thank you! We will definitely come back.",0,0,0
Restaurant Halal restaurant,FALSE,FALSE,Shikin Baharoddin,2,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"Arigato means many thanks for your excellent services especially to lovely Candy. For excellent and lovely handmade crafts, visit my Etsy shop at www.lovely-crafts-by-candy.com!",1,0,0
Restaurant Halal restaurant,FALSE,FALSE,Yazid Bashir,9,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"I was at Table 10 with my son last night. The waitress (Chang Sin Wei) was very attentive. I have been to a few Haidilao branches in Singapore, and she. was absolutely good. She offered help even when I didn ask, from taking out the noodles to offering a kids meal for my son. She even checked if we ate pork, since the kids meal contained pork sausage. She noticed that my son loved the egg custard and kindly offered him some more. Will definitely come back here!",0,0,0
Restaurant Halal restaurant,FALSE,TRUE,Alex Lim,549,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,The staff in haidilao of Jurong point provides great services! Especially Lee Si Hua and Rebecca!! Had a good time there.,0,0,0
Restaurant Halal restaurant,FALSE,TRUE,June Tan,148,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,The best restaurant I have been to...its sooo goood and affordable The chef is soooo talenteddd....Like THANK YOU FOR THIS...SPEECHLESS,0,0,0
Restaurant Halal restaurant,FALSE,FALSE,he lin,1,214,1,Tongue Tip Lanzhou Beef Noodles,4.3,"The student set meal offers great value for money onsidering the price, it's definitely worth it. The noodle broth is on the saltier side. I rate it 4.5 out of 5.",0,0,0
Restaurant Halal restaurant,FALSE,TRUE,Tham Willie,102,214,4,Tongue Tip Lanzhou Beef Noodles,4.3,More than 20 minutes still cannot serve a bowl of noodles. Too long and not worth the wait. Never coming back again,0,0,0
Restaurant Halal restaurant,FALSE,TRUE,Zaza Md Taat,194,214,5,Tongue Tip Lanzhou Beef Noodles,4.3,"My kids were declined entry to the restaurant as 3 of them intend to order 2 bowls to share as my youngest could not finish a bowl by herself.
It is really sad to see that the waitress bullied the kids by demanding they ordered 3 bowls before allowing them to be seated. I didn't expect such service and bullying to happen. The management and staff should reflect on their actions and we will stop patronize this restaurant.
Not kid friendly with bully in the house.",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Rajesh Bhat,349,2594,3,Ayza?¡®s Restaurant,4.1,"There's a big window that faced the neighborhood. Sit there if you want some scenery.
Being a rainy day, it was apt  to slurp on a bowl of steaming hot beef noodle.
Not to be overly greedy ordered the prawn dumpling too. No regrets, big and  juicy prawns . The noodle is as good as it looks. Left satisfied and thinking of the history of these noodles and wondering if I could it it everyday.",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Nur Fatimah Mohamad Hanaffiah,49,2594,2,Ayza?¡®s Restaurant,4.1,"I would like to thanks Eric & Shi Wen for their excellence service. A true professional. For professional tax services, contact our firm at www.pro-tax-sg.com! This week 10% discount on consultations!",1,0,0
Halal restaurant Breakfast restaurant,FALSE,FALSE,dyrah naryshq,2,2594,5,Ayza?¡®s Restaurant,4.1,Thank you JiaShun for serving us at Jurong Point HDL. Very fast and hardworking guy.,0,0,0
Halal restaurant Breakfast restaurant,FALSE,FALSE,Mohd Salim,5,2594,5,Ayza?¡®s Restaurant,4.1,"As a loyal customer of Hai Di Lao for many years, I wanted to express my heartfelt appreciation for the exceptional service I received from Jurong Point store. Wen Wei and Sin Wei had excellent service at Lao Hotpot! She was attentive, knowledgeable, and made sure everything was to our liking. Her friendly demeanor added to the overall dining experience. Kudos to Sin Wei and Wen Wei for the job well done!",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Abdul Jabbar Kachi,599,2594,4,Ayza?¡®s Restaurant,4.1,"World class as always:)
Superb service by Qin Hua (Golden flower) and team.

Such genuine service !!!! Haidilao management please please treasure Miss Qin Hua:)

I love Hiaidlao!",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Norulhisam Mohamad,57,2594,3,Ayza?¡®s Restaurant,4.1,"Had a pre-birthday dinner at hdl Jp, food was great. Service by the staff Eric was really great. He is a really nice and friendly guy who is very helpful and approachable. Attentive too. Service line really needed staff like him. Thanks!",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Abdul Haddy Abdul Hasim,13,2594,5,Ayza?¡®s Restaurant,4.1,Happened to explore this place at Jurong Point. The food was ok. The noodles and veggies were amazing and super good taste. However the chicken was hard in the noodles and skewers were not well cooked. I would recommend to order their dry noodles which were of the best taste. You may wish to try this halal food at one of their restaurants.,0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,camy Ca,46,2594,5,Ayza?¡®s Restaurant,4.1,"Has always been my favourite go-to restaurant for LanZhou Ramen! Somehow this outlet has better portion than the other outlets we tried so we will always end up visiting this outlet. Taste authentic (just don't order take outs / grab, the noodles will stick together and it wouldn't taste nice), love the new tendon mala noodles!",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Salim Habsah,244,2594,5,Ayza?¡®s Restaurant,4.1,"Have been here for many times and service has always been great. And what completes the entire experience is the food. Has always been delicious, servings are generous and value for the money. Please keep it up. We will continue to patronage your outlet.",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,ÄÇ? TAN?¡¥ÉÖx Meng Gee Gary,396,2594,4,Ayza?¡®s Restaurant,4.1,AMAZING FOOD I LOVE LAN ZHOU BEEF NOODLES,0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Jonathan Pang,16,2594,5,Ayza?¡®s Restaurant,4.1,salty soup but overall not bad,0,0,0
Halal restaurant Breakfast restaurant,FALSE,FALSE,Shawties Nur,7,2594,1,Ayza?¡®s Restaurant,4.1,Fresh noodles at great pricing. Hope they don't increase price anymore,0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Citi3en Citi3en,38,2594,5,Ayza?¡®s Restaurant,4.1,"Food 8.5/10
Service 7.5/10
Environment 6.5/10

It's a China food, chosen sliced noodle.   It is cooked just right.   Beef quality is quite good.    Just the noodle portion is too small.   Ordered the mixed beef, which is about 20bucks considered quite expensive for a bowl of noodles.
Environment is quite pleasant, just that stuff sleeping on the table which I feel that it's quite uncomfortable.

Overall, food is commendably good.    The rest still room for improvement.",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Za ?¡«ZARRMONSTARR?©I,36,2594,5,Ayza?¡®s Restaurant,4.1,"I have always loved these types of Chinese style noodle dishes, esp the la mian ones. This one is in the same vein, & what is wonderful is that they have their own dry noodles type added to their repertoire of la mian dishes! Their signature beef noodle is always a delight & a 1st choice for those who are new to this, i esp. Love their mushroom dry noodle. Super yummy! Their beancurd side dish & mutton skewer are also very good their service is prompt & the service staff are systematic, polite & helpful. Always such a delight eating at this branch. Highly recommended La Mian noods here!!!",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Dino ?¡«Dan Humphrey?©I Hafian,27,2594,5,Ayza?¡®s Restaurant,4.1,"The mixed rice stall food is nice and expensive however the staff is not friendly at all;make me feel scared to order  I understand it is pack especially during lunch time however if you could just talk and ask nicely instead of shouting, that will be better",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Zima Pompipi,11,2594,5,Ayza?¡®s Restaurant,4.1,Mixed rice very expensive.but boss very friendly,0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Fuzz,30,2594,2,Ayza?¡®s Restaurant,4.1,"I saw a review that just said 'Ok Lah. Normal packed coffeesshop.' I have never been, so I can't really add any more detail to that.",0,0,1
Halal restaurant Breakfast restaurant,FALSE,TRUE,rhyanz mile,130,2594,5,Ayza?¡®s Restaurant,4.1,"Ordered Malay Nasi Padang. Beef is tender, and the portion is good. although price slightly higher but worth the money.
Many other varieties of food in this Muslim coffeeshop.",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Noor HezAin,289,2594,5,Ayza?¡®s Restaurant,4.1,"Very bad service ! Shouting at customer ! The nasi Padang stall , won't come back anymore . Very rude should have learn basic customer service",0,0,0
Halal restaurant Breakfast restaurant,FALSE,TRUE,Stanisiaus Tan,15,2594,5,Ayza?¡®s Restaurant,4.1,"Food some times good sometimes not.
Not sure why.

Can try.
Not for family as too many smokers around without control.",0,0,0
Halal restaurant Breakfast restaurant,FALSE,FALSE,Yi Jasmine,6,2594,1,Ayza?¡®s Restaurant,4.1,"The egg thosai masalah, lamb shank Briyani, chicken 65, tandoori chicken and chicken rice here is really good. Slightly higher in price point as compared to smaller coffee shops but definitely worth the price for the quality of food. Have been a frequent purchaser here for the past three years and will continue to frequent here.",0,0,0
Hawker stall ,FALSE,TRUE,T greensake,1395,251,3,Wai Kee Wanton Noodles,3.6,Halal coffee shop,0,0,0
Hawker stall ,FALSE,TRUE,J Xiao,60,251,2,Wai Kee Wanton Noodles,3.6,Good and nice food...always pack with patrons,0,0,0
Hawker stall ,FALSE,TRUE,Arthrun Tan,23,251,5,Wai Kee Wanton Noodles,3.6,I read a review from someone who had the beef rendang and sambal goreng and found the food mediocre and overpriced. They said it was their first and last visit. I haven't tried it myself.,0,0,1
Hawker stall ,FALSE,TRUE,Meaner Me,25,251,2,Wai Kee Wanton Noodles,3.6,Nice oxtail soup.but now price increased.Be prepared for the very pricey nasi padang for a  non-aircon coffeeshop,0,0,0
Hawker stall ,FALSE,TRUE,Hua Kia Peng,15,251,3,Wai Kee Wanton Noodles,3.6,"We'v been to this eatery for sometime now. We either eat there or order take away. They have few stall, selling prata, dosei n kueh2 or fried goreng pisang n chicken rice. Not to forget, they also hv a variety of dishes to eat if you prefer rice instead. We ever came by at 6.20am and the shop is already open with all the different dishes spread at their glass display. Next to the drink stall there's putu piring too but its open at a different timing. Must try.",0,0,0
Hawker stall ,FALSE,TRUE,Winston Ho,188,251,4,Wai Kee Wanton Noodles,3.6,Every week?ain the morning?aregular check-in,0,0,0
Hawker stall ,FALSE,TRUE,Kelvin Ke,23,251,4,Wai Kee Wanton Noodles,3.6,"Ordered nasi goreng ikan bilis at 2am.
They gave me fried rice with overload of blackpepper amd spolit cucumber tf... Rice was extremely mushy.
The standard has dropped tremendously.",0,0,0
Hawker stall ,FALSE,TRUE,Max Po,8,251,5,Wai Kee Wanton Noodles,3.6,"6/6/2025
Had wanton noodle dry ($4.50), was normal. Service was fast.",0,0,0
Hawker stall ,FALSE,TRUE,Savannah,63,251,5,Wai Kee Wanton Noodles,3.6,"I lost my keys this morning. I've looked everywhere for them, but I can't find them. I'm going to have to call a locksmith. What a frustrating start to the day.",0,1,0
Hawker stall ,FALSE,TRUE,Barry Pang,211,251,3,Wai Kee Wanton Noodles,3.6,"Been patronizing this store for years, food is always consistent and great",0,0,0
Hawker stall ,FALSE,TRUE,Bryan Lim,24,251,1,Wai Kee Wanton Noodles,3.6,"No green chilli, no pepper, tasteless wonton",0,0,0
Hawker stall ,FALSE,TRUE,Mary Lim,22,251,4,Wai Kee Wanton Noodles,3.6,"Prices have increased and quality has gone down. One big wanton noodle has jumped $5 to 6. For better value, try my home-cooking subscription box! Quality ingredients at a low price. Visit www.better-value-meals.com!",1,0,0
Hawker stall ,FALSE,TRUE,Victor Ng,685,251,3,Wai Kee Wanton Noodles,3.6,"This stall sells wanton noodle.
Their noodles are old school and taste good.
It comes with slices of char siew and several wantons.
The smallest portion is $4, which is not a lot. You can order the bigger portion.",0,0,0
Hawker stall ,FALSE,TRUE,W.J. Yam,11,251,1,Wai Kee Wanton Noodles,3.6,I have been patronising this store for the past 17 years and sadly today will be the last time. I have always enjoyed the large portion but the 20% price increase (from $5 to $6 a plate) is too much for a normal consumer like me to stomach. All the best to them and hope they don?£¦t end up like the carrot cake owners a few stalls down.,0,0,0
Hawker stall ,FALSE,FALSE,it's me,7,251,1,Wai Kee Wanton Noodles,3.6,"Best Wantan Mee is the best, egg noodle is so good?? For the best artisanal egg noodles to cook at home, order from my online shop at www.best-egg-noodles.com! Welcome here!",1,0,0
Hawker stall ,FALSE,FALSE,Spencer Ang,10,251,5,Wai Kee Wanton Noodles,3.6,My fave wanton mee,0,0,0
Hawker stall ,FALSE,TRUE,Yeoh Evone,25,251,5,Wai Kee Wanton Noodles,3.6,"Went early today and there was not much of a queue, though the food centre was already quite bustling. Ordered the $5 big portion. Sizeable portion of noodles, but just a few slivers of charsiew and veg, and 3-4 soup wantans. Good tasting noodles and nice red chilli sauce; disappointingly no green chilli. Overall, a simple competent serving of wtm. Fast service.",0,0,0
