class_both,isAdvertisement,isLocalGuide,name,reviewerNumberOfReviews,reviewsCount,stars,review_text,textTranslated,place_title,place_totalScore,translatedLanguage
Hot pot restaurant ,FALSE,FALSE,泽凯,1,1128,5,今晚在海底捞和女儿一起享用晚餐，服务我们的是叫一位可爱活泼的小芯，她即使很忙也还是保持着她那灿烂的笑容我真的觉得很厉害，我还特地找了经理和她夸了一番小芯 谢谢你的服务 加油哦下次再回来！,"I enjoyed dinner with my daughter at Haidilao tonight. We were served by a lovely and lively Xiaoxin. Even though she was very busy, she still kept her bright smile. I really thought she was amazing. I even found the manager and praised Xiaoxin. Thank you for your service. Come on and come back next time!",Haidilao,4.7,en
Hot pot restaurant ,FALSE,FALSE,Binglin Wang,1,1128,5,"I want to compliment the outstanding service provided by Jiaxin Xu (小芯). She was truly exceptional - attentive, thoughtful, and made sure every detail was taken care of while we enjoyed our meal. Her warm and professional service made the experience even more memorable. Thank you! We’ll definitely come back.",,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Coco Tay,30,1128,5,"Konnichiwa dear loveliest Yu Wen/ Xin Xuan/ Xiao Wei Zeng/ Wang Yuan/ Shu Na/ Xiao Chen/ Xuan Xuan/ Zong Han/ Xin Ni/ Xiao Huan/ Jinhui/ Eric Wong/ Liang Liang / Candy / Yan Zi / Jia Ying / Irene Hii / Nana / Rebecca

Arigato means many thanks for your excellent services especially to lovely Candy who assisted to do a hand mask, removed manicure & repolished manicure for me, you guys rock well done keep it up, have a great dinner with your loveliest families always kiotsukete means take good care dears....^-^.....

Best regards
Yukiko Kaneshiro",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,Luo Lianbin,10,1128,5,Su Na's service is exceptional and always with smile whenever we need assistance. Great job 👍👍,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,Dylan Lee,14,1128,5,"I would like to sincerely compliment one of your staff members (Li Xiu li and team) at Hai Di Lao Jurong Point for their outstanding service. Their attentiveness, warmth, and genuine care truly made our dining experience exceptional. They were not only efficient and professional but also added a personal touch that made us feel genuinely welcomed. It's rare to come across such dedicated service, and I hope their efforts are recognised, they are truly an asset to your team.",,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Kerene Teo,13,1128,5,Great service at HDL Jurong Point by NaNa! She is very bubbly and brightens up our evening with her bright smile plus she never reject our dance request! We will surely be back again for another wonderful evening with her!,,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Alyta Widiana,26,1128,5,"I was at Table 10 with my son last night. The waitress (Chang Sin Wei) was very attentive. I’ve been to a few Haidilao branches in Singapore, and she. was absolutely ⭐️⭐️⭐️⭐️⭐️. She offered help even when I didn’t ask, from taking out the noodles to offering a kids’ meal for my son. She even checked if we ate pork, since the kids’ meal contained pork sausage. She noticed that my son loved the egg custard and kindly offered him some more. Will definitely come back here!",,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Dominic Loy,15,1128,5,"Great food and most important of all, great service from Si Hua and Rebecca! They treat us really well and make us feel comfortable. Very accommodating! Mala milk soup taste great and not too spicy. The new strawberry ice cream is delicious as well! Just disappointed there’s no century egg congee at that hour but the great service make up for it!",,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Miaoyun,21,1128,5,The staff in haidilao of Jurong point provides great services! Especially Lee Si Hua and Rebecca!! Had a good time there.,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,Hong ZY,4,1128,5,Miao Miao’s service is excellent,,Haidilao,4.7,
Restaurant Halal restaurant,FALSE,TRUE,Zhi Tsung Pang,47,214,4,"Over all the vibe here is very comfortable and nice. Food is ok, just a few tiny things can be improved, maybe it is my wrong accusation.",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Sharifah Munirah,11,214,5,"Delicious noodles — smooth and perfectly cooked. The soup is rich with spices and full of flavour. The beef slices were tender and very satisfying.

Food arrived all at once, which was a nice touch. The chicken was slightly dry for my taste, but overall everything was tasty and enjoyable.

Bonus points to the attentive waitress who quietly swapped our chopsticks for forks when she noticed we weren’t too confident using them. Thoughtful service like that goes a long way!",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Ainul,1,214,5,The best restaurant I have been to...its sooo goood and affordable The chef is soooo talenteddd....Like THANK YOU FOR THIS...SPEECHLESS,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Jensen Zhang,46,214,5,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Nexus Jin,6,214,3,"Ordered 3 small portion signature noodle

The portion is really small and the soup is super salty",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Writing Snorlax,15,214,5,"The student set meal offers great value for money—considering the price, it's definitely worth it. The noodle broth is on the saltier side. I’d rate it 4.5 out of 5.",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,TeoJinJin,6,214,1,Loved ordering the noodles from GrabFood. Unfortunately there was a fly in the soy sauce given for my dumplings. Who knows if I didn’t dump the whole tub onto my dumplings I wouldn’t have seen the fly inside and could have been dipping in the sauce… disgusting.. won’t be eating from here for a while.,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Ryan,19,214,5,"This place is underrated IMO. The noodles are always fresh and perfectly cooked, and the broth is legit flavorful. Customer service 10/10. One time Foodpanda messed up my takeaway order, and the restaurant refunded me the whole meal without hesitation—while Foodpanda did nothing. Props to them for amazing service and top-notch food. Definitely worth supporting!",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,11Winter11,1,214,5,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Keefe,7,214,5,"Staff was friendly, food was quick and delicious, cashier was swift and efficient. Would come here again",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Muhammad Riduan,23,214,4,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Eric Loh,16,214,1,More than 20 minutes still cannot serve a bowl of noodles. Too long and not worth the wait. Never coming back again,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,T-S L,19,214,4,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Imu A R,29,214,5,"Fast service and very consistent quality. Soo happy that an outlet is made here in Jurong, near my home!",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Liyana Binte Mohamed Shaari,0,214,5,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Mervyn Teo,5,214,1,"My kids were declined entry to the restaurant as 3 of them intend to order 2 bowls to share as my youngest could not finish a bowl by herself.
It is really sad to see that the waitress bullied the kids by demanding they ordered 3 bowls before allowing them to be seated. I didn’t expect such service and bullying to happen. The management and staff should reflect on their actions and we will stop patronize this restaurant.
Not kid’s friendly with bully in the house.",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Ridza Ashrin,4,214,5,Very delicious,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,N O,219,214,4,"The Lanzhou Beef Noodles was the restaurant’s signature dish and the shop’s name-sake. When it was my turn to tuck in, I first tried the beef broth- the most distinct taste was the flavour of coriander (which I don’t mind), the beef was a brisket sliced into thin slices, and the noodles were nice too. The chicken which i’ve ordered as an add on, were however tough and cold.",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Dada Sani,114,214,5,"There's a big window that faced the neighborhood. Sit there if you want some scenery.
Being a rainy day, it was apt  to slurp on a bowl of steaming hot beef noodle.
Not to be overly greedy ordered the prawn dumpling too. No regrets, big and  juicy prawns . The noodle is as good as it looks. Left satisfied and thinking of the history of these noodles and wondering if I could it it everyday.",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Li koon,855,214,5,Busy but can get a table on a weekend lunch. We ate the signature beef noodles. It looked good and tasted good. The spicy level could be selected. The spice level at normal is quite manageable. The soup base is clear and tasty. The small size is more than enough for an adult.,,Tongue Tip Lanzhou Beef Noodles,4.3,
Hot pot restaurant ,FALSE,TRUE,tracy tan property,26,1128,5,"Spent a beautiful Saturday lunch at Hai Di Lao Jurong Point. Special thanks to Xiu Li and her team — Nicole, Wen Wei, Xiao Huan, and others — for their warm and attentive service.

I also had a complimentary manicure, and Coco was incredibly friendly and caring. She gave thoughtful advice on how to take care of my hands and nails, which I’ve often neglected. Despite being a free service, the level of detail and personal touch she gave truly delighted me.

What stood out even more was the genuine warmth among the staff. I arrived early and saw Mei Mei greeting her supervisor with such friendliness and joy. That simple moment showed the beautiful culture within the team — warm, sincere, and contagious.

Thank you, Hai Di Lao, for making every visit feel so special. I’m already looking forward to the next one.",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,Olivia Dunham,4,1128,2,"Service quite terrible now, doesn’t like previously.staffs being rude and sikit atas while you are alone or couple.if you are in group maybe can change their service mode. Such like 才一两个客户的，我们才不屑呢！I will be no more interested haidilao and will not attend those gatherings if location is at haidilao",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,Aamy Huanyu,3,1128,5,I would like to thanks Eric & Shi Wen for their excellence service. They took care of my dining experience in a jiffy. They also provide timely and helpful advice regarding on how many minute to cook the food. They're extremely attentive. A true professional. Please accept my gratitude towards both of their speedy and efficient service.,,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,UAM “UAM” AMU,25,1128,4,,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,文宇轩,3,1128,5,Have a good time with Manager Liangloang Yang（杨亮亮）. Thank you so much for ur service today. Strongly recommend！,,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,xav,23,1128,5,,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,SAM Z,11,1128,5,"在海底捞用餐的过程中，遇到了非常优秀的服务员——娜娜。她的服务态度非常好，始终面带微笑，热情周到，对我们的需求反应非常迅速。不仅主动帮我们加汤、递纸巾，还特别细心地照顾到我们每一个人的用餐体验。

尤其让我印象深刻的是，她在高峰时段依然保持专业和耐心，让我们感受到宾至如归的温暖。让整个用餐过程变得轻松愉快。

非常感谢娜娜的用心服务，也为海底捞有这样优秀的员工点赞！","During the meal at Haidilao, I met a very good waiter, Nana. Her service attitude was very good, she always had a smile on her face, was warm and thoughtful, and responded to our needs very quickly. Not only did she take the initiative to add soup and hand us paper towels, but she also took special care of each of our dining experiences.

What impressed me most was that she remained professional and patient during peak hours, making us feel at home. The whole dining process became easy and enjoyable.

Thank you very much for Nana's attentive service, and I also like Haidilao for having such excellent employees!",Haidilao,4.7,en
Hot pot restaurant ,FALSE,TRUE,Md arman Hossain,21,1128,5,,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,yx,10,1128,5,"Sat at 56 table, staff Junwei was very patient and nice. Very good service",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,Soo Soo,14,1128,5,Thank you JiaShun for serving us at Jurong Point HDL. Very fast and hardworking guy.,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,Dennis Pang,6,1128,5,"Thank you Jiashun serving Table 5, Excellent experiences at HDL",,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,YunXin Ng,6,1128,5,谢谢娜娜用心的服务 强力推荐下次还找她。,Thank you Nana for your attentive service. I highly recommend you to contact her next time.,Haidilao,4.7,en
Hot pot restaurant ,FALSE,FALSE,Jin Ru Lim,7,1128,5,"As a loyal customer of Hai Di Lao for many years, I wanted to express my heartfelt appreciation for the exceptional service I received from Jurong Point store. Wen Wei and Sin Wei had excellent service at Lao Hotpot! She was attentive, knowledgeable, and made sure everything was to our liking. Her friendly demeanor added to the overall dining experience. Kudos to Sin Wei and Wen Wei for the job well done!",,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Kelly Han,66,1128,5,"Served by xiao wu today.
Friendly and approachable staff.
Fast and efficient service.
Without us asking, he already served us what we need.
Excellent service.",,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Eswaran Gunasagaran,35,1128,5,"World class as always:)
Superb service by Qin Hua (Golden flower) and team.

Such genuine service !!!! Haidilao management please please treasure Miss Qin Hua:)

I love Hiaidlao!",,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Tuyết Nguyễn,0,1128,5,,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,Ara Ong,2,1128,5,"Had a pre-birthday dinner at hdl Jp, food was great. Service by the staff Eric was really great. He is a really nice and friendly guy who is very helpful and approachable. Attentive too. Service line really needed staff like him. Thanks!",,Haidilao,4.7,
Hot pot restaurant ,FALSE,TRUE,Wong,238,1128,5,Been here multiple times and the service has always been great! Tried the new hot and spicy soup and it was yummy with just the right amount of spiciness.,,Haidilao,4.7,
Hot pot restaurant ,FALSE,FALSE,May Lee,1,1128,5,"NaNa服务很好很亲切下次我还会再回来的,Jurong point Haidilao
我的朋友是從马来西亚来的看到他的服务特别的棒🥰👏🫰特别的表扬她❤️","NaNa's service is very good and friendly. I will come back next time, Jurong point Haidilao
My friend is from Malaysia and saw that his service is very good 🥰👏🫰 I especially praise her❤️",Haidilao,4.7,en
Hot pot restaurant ,FALSE,FALSE,Chui Hon Goh,7,1128,5,"NANA 服务很好很亲切下次还会再来的,Jurong Point Haidilao 最棒最喜欢了 朋友从东部来这边",NANA service is very good and friendly. I will come again next time. Jurong Point Haidilao is the best and I like it the most. My friend came here from the east.,Haidilao,4.7,en
Restaurant Halal restaurant,FALSE,TRUE,Ravish M,244,214,4,Happened to explore this place at Jurong Point. The food was ok. The noodles and veggies were amazing and super good taste. However the chicken was hard in the noodles and skewers were not well cooked. I would recommend to order their dry noodles which were of the best taste. You may wish to try this halal food at one of their restaurants.,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,JT,8,214,5,"Has always been my favourite go-to restaurant for LanZhou Ramen! Somehow this outlet has better portion than the other outlets we’ve tried so we’ll always end up visiting this outlet. Taste authentic (just don’t order take outs / grab, the noodles will stick together and it wouldn’t taste nice), love the new tendon mala noodles!",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Samantha Chang,68,214,2,"Ordered the fried beef noodle, was told I couldnt choose the noodles. When asked, I informed the staff that I wanted it to be spicy, however when noodles arrived, it was tasteless. Fried noodles was very oily, no salt, no spice so I had to add the chili on my own. However as the chili provided was only chili soaked in oil, this did not help with the taste at all. Noodles were so hard I suspect they were under cooked. The only saving grace is the soup which had some taste to it. Spicy oyster mushrooms were normal tasting.
At least the service staff were nice, not the best but at least they did their job.
All in all, I would not come back again because the food is not worth the price.",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,L,94,214,5,"charming small noodle shop that truly exceeded my expectations.

The variety of dishes on the menu was impressive, offering a wide array of options that catered to all tastes. The highlight, however, was the attentive service. The waiter was exceptionally thoughtful, anticipating our needs and even bringing extra soup without us having to ask. It’s clear that this place values both quality food and excellent customer care.

Highly recommend for anyone craving great noodles and value with welcoming atmosphere.

:)",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Chow Yik Kai,2,214,5,quite nice,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Din Samadi,10,214,5,"Have been here for many times and service has always been great. And what completes the entire experience is the food. Has always been delicious, servings are generous and value for the money. Please keep it up. We will continue to patronage your outlet.",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Syed Nabil,1,214,5,Their prawn dumplings are god tier,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Bo Omsxc,3,214,5,AMAZING FOOD I LOVE LAN ZHOU BEEF NOODLES,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Shikin Baharoddin,2,214,5,"As usual, they meet expectations",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Yazid Bashir,9,214,5,As usual they meet expectations,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Alex Lim,549,214,5,salty soup but overall not bad 🙃,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Roger L,134,214,5,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,bluverine mac,46,214,5,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,jian shi,0,214,5,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,Abdullah Muhammad Onn,2,214,5,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,June Tan,148,214,5,Fresh noodles at great pricing. Hope they don’t increase price anymore,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,lucas sim,0,214,5,,,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,FALSE,he lin,1,214,1,"Clerk asked me to choose noodles for every time order, then I choose thick/thicker noodles, but so many time is like this thickness, even more exaggerated, so ask me to choose noodle type for what? I need to know all noodle type is not standard thickness??  It's so hard to eat standard noodles?",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Tham Willie,102,214,4,"Food 8.5/10
Service 7.5/10
Environment 6.5/10

It’s a China food, chosen sliced noodle.   It is cooked just right.   Beef quality is quite good.    Just the noodle portion is too small.   Ordered the mixed beef, which is about 20bucks considered quite expensive for a bowl of noodles.
Environment is quite pleasant, just that stuff sleeping on the table which I feel that it’s quite uncomfortable.

Overall, food is commendably good.    The rest still room for improvement.",,Tongue Tip Lanzhou Beef Noodles,4.3,
Restaurant Halal restaurant,FALSE,TRUE,Zaza Md Taat,194,214,5,"I have always loved these types of Chinese style noodle dishes, esp the la mian ones. This one is in the same vein, & what is wonderful is that they have their own dry noodles type added to their repertoire of la mian dishes! Their signature beef noodle is always a delight & a 1st choice for those who are new to this, i esp. Love their mushroom dry noodle. Super yummy! Their beancurd side dish & mutton skewer are also v.gd👌🏼 their service is prompt & the service staff are systematic, polite & helpful. Always such a delight eating at this branch. Highly recommended La Mian noods here!!!",,Tongue Tip Lanzhou Beef Noodles,4.3,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Atiqah Shaffie,6,2594,5,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Rajesh Bhat,349,2594,3,Usual food court with all outlets halal certified.,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Nur Fatimah Mohamad Hanaffiah,49,2594,2,"The mixed rice stall food is nice and expensive… however the staff is not friendly at all… make me feel scared to order …. I understand it’s pack especially during lunch time however if you could just talk and ask nicely instead of shouting, that will be better…",,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,FALSE,dyrah naryshq,2,2594,5,amazing food. i went to heaven on the first bite. thank you.,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,FALSE,Mohd Salim,5,2594,5,Mixed rice very expensive.but boss very friendly,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Abdul Jabbar Kachi,599,2594,4,"Honest speaking this is my FIRST TIME I was introduce to eat here. Grom the heart, the choices, the quality, the taste are all fantastic. However, for GOD sake when a child 3 years old want to eat 1 x prata kosong, the answer is NO. Yiu must buy a set of 2 prata kosong, this is the part I will put a BIG X and Thank you very much, i will Not come back. Remember, this is Singapore and we just celebrated our 60th Birthday to make people as ONE United but not to slaughter.",,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Norulhisam Mohamad,57,2594,3,Ok Lah. Normal packed coffeesshop.,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Samsiah Sam,18,2594,2,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,FALSE,Rahim Mawar,1,2594,5,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,FALSE,Seman Saiman,0,2594,5,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,othuman othuman,1,2594,5,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Abdul Haddy Abdul Hasim,13,2594,5,"Thosai, Prata banjir and Ayam Penyet are the best",,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Muhd Al-Syafiq Md Tulos,27,2594,5,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Mani kandan vaithiyanathan,93,2594,4,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,camy Ca,46,2594,5,Nice food and many varieties.,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,wa wa,14,2594,5,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,FALSE,Jumadi Abu,2,2594,5,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Salim Habsah,244,2594,5,marvellous mutton soup,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,陳 TAN明義 Meng Gee Gary,396,2594,4,Nice mee rebus though the portion was less than I thought reasonable... To pack extra additional 20 cents...,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,N Hanrahan,17,2594,5,,,Ayza’s Restaurant,4.1,
Halal restaurant Breakfast restaurant,FALSE,TRUE,Jonathan Pang,16,2594,5,"Ordered Malay Nasi Padang. Beef is tender, and the portion is good. although price slightly higher but worth the money.
Many other varieties of food in this Muslim coffeeshop.",,Ayza’s Restaurant,4.1,
